orgnr;navn;ansatte;hjemmeside;beskrivelse;auto_kategori;auto_ord;auto_typer;manual_informativ (ja/nei);manual_forretningstype
991937099;1+1 REGNSKAP AS;9;;Yte regnskapstjenester, økonomisk rådgivning og hva hermed står i forbindelse.;generic;yte;bookkeeping core, advisory;;
921862229;4SIGHT AS;15;;Føre regnskap for andre. Selskapets virksomhet er også å utføre forretningsførsel, økonomisk- og administrativ rådgivning, konsulenttjenester og annen tilknyttet virksomhet for andre, delta i, eller overta, annen virksomhet og investere i aksjer og verdipapirer i norske og utenlandske selskaper.;specific;administrativ delta forretningsførsel føre investere norske overta selskaper utenlandske utføre verdipapirer økonomisk-;bookkeeping core, advisory;;
925151564;5-PLUSS AS;21;www.5-Pluss.no;Regnskapsvirksomhet, regnskapsføring for andre, økonomisk rådgivning og annen tjenesteytende virksomhet, samt hva hermed står i forbindelse, herunder å delta i andre foretak som driver tilsvarende virksomhet.;generic;regnskapsvirksomhet tjenesteytende;bookkeeping core, advisory;;
916598416;A B REKNESKAP AS;5;;Føring av rekneskap, rådgjeving og konsulenttenester innan økonomi.;specific;innan konsulenttenester rekneskap rådgjeving;advisory;;
887726612;A TIL Å REGNSKAP AS;15;;Regnskapsføring, økonomisk bistadn, kjøp/salg av aksjer, deltakelse i andre selskaper og alt som faller herunder.;specific;bistadn deltakelse faller selskaper;bookkeeping core;;
994745433;AB ØKONOMI AS;12;www.abutvikling.no;Regnskapstjenester. Bedriftsrådgivning innen økonomi/finans og strategi. Næringsutvikling overfor bedrifter og offentlige institusjoner. Undervisning innen økonomi og markedsføring. Deltakelse i andre bedrifter gjennom styrearbeid og eierinteresser.;specific;bedriftsrådgivning deltakelse eierinteresser finans gjennom institusjoner næringsutvikling overfor strategi styrearbeid undervisning;bookkeeping core, advisory;;
964091277;ABACUS RATIO AS;35;www.abacusratio.no;Regnskapsføring for andre;boilerplate;;bookkeeping core;;
992933046;ABACUS REGNSKAP AS;5;www.abacus-regnskap.no;Regnskap og bokføring og tilhørende virksomhet.;generic;tilhørende;bookkeeping core;;
982741076;ABACUS ØKONOMITJENESTER AS;19;;Salg av administrasjonstjenester, regnskapsføring, økonomisk og finansiell rådgivning samt utleie av arbeidskraft.;specific;administrasjonstjenester arbeidskraft finansiell;bookkeeping core, advisory;;
913960750;ABC ACCOUNTING AS;10;;Salg av regnskaps og bokføringstjenester. Bedriftsrådgivning, generell databistand og andre produkter/tjenester som naturlig hører sammen med dette, herunder å delta i andre selskap med lignende virksomhet, og kjøp og salg av aksjer eller på annen måte gjøre seg interessert i andre foretak.;specific;bedriftsrådgivning bokføringstjenester databistand delta foretak gjøre interessert måte regnskaps seg;bookkeeping core, advisory, IT/data services;;
921059442;ABG BUSINESS MANAGEMENT AS;5;www.vikapf.no;Generell forretningsførsel, herunder føre regnskap for andre, samt konsulentbistand for selskaper og privatpersoner og hva hermed står i forbindelse.;specific;forretningsførsel føre konsulentbistand privatpersoner selskaper;bookkeeping core, advisory;;
996872084;ABRA REGNSKAP OG RÅDGIVNING AS;5;;Regnskapstjenester og økonomisk rådgivning.;boilerplate;;bookkeeping core, advisory;;
989746111;ACCOMODO REGNSKAP AS;7;;Økonomisk rådgiving, regnskap, lønn, kredittoppfølging og inkasso.;specific;inkasso kredittoppfølging lønn;bookkeeping core, payroll, advisory;;
926732072;ACCOUNT GROUP AS;38;;Regnskapstjenester og økonomisk rådgivning.;boilerplate;;bookkeeping core, advisory;;
997696565;ACCOUNT REGNSKAP AS;7;;Regnskap-og økonomitjenester.;generic;regnskap-og økonomitjenester;bookkeeping core;;
926445936;ACCOUNTERA AS;6;www.bilagsfeber.no;Regnskap, bokføring og rådgiving knyttet til dette.;generic;knyttet;bookkeeping core, advisory;;
988847798;ACCOUNTOR VALDRES OG LAND AS;9;www.accountor.no;Økonomitjenester og regnskapsbyrå.;generic;økonomitjenester;bookkeeping core;;
933727424;ACCRU PARTNERS NORGE AS;7;;Å levere ledelsestjenester til datterselskaper og å drive med kapitalinvestering, finansiering, industri og handelsvirksomhet, samt enhver annen virksomhet knyttet til dette.;specific;datterselskaper enhver finansiering handelsvirksomhet industri kapitalinvestering knyttet ledelsestjenester;;;
913647254;ACCURAT AS;9;;Regnskapsføring og økonomirådgivning, herunder å delta i andre selskaper med lignende virksomhet, kjøp og salg av aksjer, eller på annen måte gjøre seg interessert i andre foretagender.;specific;foretagender gjøre interessert måte seg økonomirådgivning;bookkeeping core;;
987840846;ACS FINANS AS;15;www.acsfinans.no;Regnskapsføring, økonomisk rådgivning og de områder som naturlig hører inn under dette;generic;inn områder;bookkeeping core, advisory;;
913270940;ACTIVREGNSKAP AS;7;;Regnskapstjeneste og økonomisk rådgiving.;generic;regnskapstjeneste;bookkeeping core, advisory;;
938683913;ADB-SENTERET AS;12;www.adb-senteret.no;Regnskapsføring og annen merkantil tjenesteyting, handelsvirksomhet samt hva herved står i forbindelse, herunder deltakelse i andre selskaper.;generic;handelsvirksomhet merkantil;bookkeeping core;;
926956027;ADDVANT STAVANGER AS;14;www.addvant.no;Regnskaps- og rådgivningstjenester, administrative tjenester, utleie av arbeidskraft, og investeringer i tilsvarende selskaper, samt annet som naturlig faller innunder virksomheten.;specific;administrative arbeidskraft faller innunder regnskaps- rådgivningstjenester selskaper;bookkeeping core, advisory;;
911612364;ADMA AS;9;;Føring av regnskap for andre virksomheter, investering i eiendom og programvare, utleie fast eiendom, konsulenttjenester, kjøp og salg innen IT- og økonomitjenester, eiendomsdrift samt deltakelse i andre selskaper.;specific;deltakelse eiendomsdrift fast it- programvare selskaper økonomitjenester;bookkeeping core, advisory, IT/data services, unrelated trade;;
989176013;ADMENTO AS;269;www.admento.no;Utføre tjenester innen økonomi/administrasjon, samt alt som dermed står i forbindelse, herunder å delta i andre selskaper med lignende formål.;generic;administrasjon utføre;;;
937416873;ADMINISTRATIV REGNSKAPSSERVICE AS;12;;Drive regnskapaføring og administrativ virksomhet for selvstendige firmaer. Selskapet skal også ha som formål å investere i fond eller aksjer.;specific;administrativ firmaer fond investere regnskapaføring selvstendige;bookkeeping core;;
930944688;ADVICE ACCOUNTING AS;11;;Regnskapsføring.;boilerplate;;bookkeeping core;;
926998625;ADVICE CONSULTING GROUP AS;6;;Regnskapstjenester, konsulenttjenester innen økonomi, administrasjon ledelse og teknologi.;specific;administrasjon ledelse teknologi;bookkeeping core, advisory;;
921859678;ADVIS AS;9;www.dynamik.no;Regnskaps- og rådgivningstjenester.;generic;regnskaps- rådgivningstjenester;bookkeeping core, advisory;;
990089639;AGDER REGNSKAP AS;15;www.agderregnskap.no;Regnskapskontor.;boilerplate;;bookkeeping core;;
997310578;AGDER REGNSKAPSTJENESTER AS;5;;Regnskap og bokføring.;boilerplate;;bookkeeping core;;
996756238;AGENDA REGNSKAP AS;6;www.agenda-regnskap.no;Regnskap og bokføring.;boilerplate;;bookkeeping core;;
918698450;AGENDA ØKONOMI AS;10;;Utførelse av regnskapstjenester for andre foretak.;generic;foretak utførelse;bookkeeping core;;
998297702;AGIL KOMPETANSE AS;8;www.agilkompetanse.no;Regnskap og rådgivning. Agenturhandel med programvare.;generic;agenturhandel programvare;bookkeeping core, advisory, IT/data services;;
823820232;AICONO AS;12;aicono.no;Føre regnskap og tilby rådgivning.;generic;føre tilby;bookkeeping core, advisory;;
922633452;AIDER AS;1343;;Regnskapstjenester;boilerplate;;bookkeeping core;;
935881943;AIDER GJØVIK AS;6;;Regnskapsføring.;boilerplate;;bookkeeping core;;
929587758;AILE TEAM AS;5;;Regnskap, bokføring, rådgivning og kurs.;generic;kurs;bookkeeping core, advisory;;
934466799;AJ SHARED SERVICES AS;5;;Regnskapsføring. Bedriftsrådgivning, administrativt.;generic;administrativt bedriftsrådgivning;bookkeeping core, advisory;;
