orgnr;navn;ansatte;har_regnskap;valuta;regnskapsregler;smaaForetak;avviklingsregnskap;kalenderaar;periode_slutt;sumDriftsinntekter;driftsresultat;sumEiendeler;aar_tilgjengelig;sammenlignbar
996941566;BRANDSAFE AS;5;True;NOK;regnskapslovenAlminneligRegler;True;False;True;2025-12-31;6012279;441290;2805715;15;True
991051228;LABRADOR CMS AS;30;True;NOK;regnskapslovenAlminneligRegler;True;False;True;2025-12-31;38154356;-4146764;25069560;15;True
924404817;FOURPRO SOLUTIONS AS;9;True;NOK;regnskapslovenAlminneligRegler;True;False;True;2025-12-31;14309022;-3685742;5071550;6;True
976570626;HOBERG & VESTRHEIM AS;8;True;NOK;regnskapslovenAlminneligRegler;True;False;True;2024-12-31;6610872;1032429;6329233;14;True
911586738;CODELAB BERGEN AS;5;True;NOK;regnskapslovenAlminneligRegler;True;False;True;2025-12-31;2573075;-141595;2921046;13;True
935325609;VISMA AMILI AS;53;True;NOK;regnskapslovenAlminneligRegler;True;False;True;2025-12-31;135691884;1997211;43235898;1;True
979775377;MYNEWSDESK AS;6;True;NOK;regnskapslovenAlminneligRegler;True;False;True;2025-12-31;11652286;1036446;10386340;15;True
924812699;FRONTLINE POS AS;23;True;NOK;regnskapslovenAlminneligRegler;True;False;True;2025-12-31;39668352;265619;21489659;6;True
874350672;PROWEB AS;8;True;NOK;regnskapslovenAlminneligRegler;True;False;True;2025-12-31;15885698;3110508;7484345;15;True
925676756;UNLISTED AS;8;True;NOK;regnskapslovenAlminneligRegler;True;False;True;2025-12-31;2168960;-6523229;32697666;6;True
925906093;LIFLIG AS;25;True;NOK;regnskapslovenAlminneligRegler;True;False;True;2025-12-31;50570467;1762003;13303095;6;True
926009966;KRAVIA SOLUTIONS AS;10;True;NOK;regnskapslovenAlminneligRegler;True;False;True;2025-12-31;16139525;-805613;41112009;6;True
816202612;LOYCO AS;11;True;NOK;regnskapslovenAlminneligRegler;True;False;True;2025-12-31;14983743;227652;43969541;11;True
